anl_id,anl_machine,anl_file_md5,anl_file_name,name,anl_score,anl_duration,anl_network_udp,anl_network_tcp,anl_network_dns,anl_signatures_sv1,anl_signatures_sv2,anl_signatures_sv3,anl_signatures_sv4,anl_signatures_sv5,anl_signatures_sv6,anl_file_created,anl_regkey_written,anl_dll_loaded,anl_file_failed,anl_regkey_opened,anl_resolves_host,anl_file_written,anl_fetches_url,anl_regkey_read
222,cuckoo-w7-maldome-opened,89b813e19581eb5822a09f43fd3407c6,win32_doboc_gen_1-83-win32_exe-undefined-89b813e19581eb5822a09f43fd3407c6.exe,doboc,9.2,132,14,1,2,2,10,6,0,0,1,3,1,12,1,3,0,3,0,15
96,cuckoo-w7-vmcloak,89b813e19581eb5822a09f43fd3407c6,win32_doboc_gen_1-83-win32_exe-undefined-89b813e19581eb5822a09f43fd3407c6.exe,doboc,9.6,136,19,6,8,2,11,6,0,0,1,3,100,11,1,4,0,3,0,465
250,cuckoo-w7-opened,89b813e19581eb5822a09f43fd3407c6,win32_doboc_gen_1-83-win32_exe-undefined-89b813e19581eb5822a09f43fd3407c6.exe,doboc,8.2,137,16,0,2,2,9,5,0,0,1,3,1,15,0,8,0,3,0,77
52,cuckoo-w7-01,8a0c95be8a40ae5419f7d97bb3e91b2b,pws_win32_zbot-87-win32_exe-undefined-8a0c95be8a40ae5419f7d97bb3e91b2b.exe,heur,14.2,137,29,12,10,7,10,11,0,1,1,3,3,30,18,27,0,2,53,86
206,cuckoo-w7-maldome-opened,8a0c95be8a40ae5419f7d97bb3e91b2b,pws_win32_zbot-87-win32_exe-undefined-8a0c95be8a40ae5419f7d97bb3e91b2b.exe,heur,15.2,139,20,3,4,7,11,12,0,1,1,5,9,46,20,36,1,6,47,209
34,cuckoo-w7-vmcloak,8a0c95be8a40ae5419f7d97bb3e91b2b,pws_win32_zbot-87-win32_exe-undefined-8a0c95be8a40ae5419f7d97bb3e91b2b.exe,heur,8,143,18,5,7,6,7,2,0,0,1,2,1,30,16,14,0,1,1,17
188,cuckoo-w7-opened,8a0c95be8a40ae5419f7d97bb3e91b2b,pws_win32_zbot-87-win32_exe-undefined-8a0c95be8a40ae5419f7d97bb3e91b2b.exe,heur,5.4,139,17,0,2,6,6,1,0,0,1,2,1,30,16,14,0,1,1,15
130,cuckoo-w7-01,8cd1fc9a12c77d347f75df7928ce2439,virus_win32_sality_au-83-win32_exe-utorrent.exe-8cd1fc9a12c77d347f75df7928ce2439.exe,sality,11.4,196,20,8,7,4,6,10,0,1,1,3,31,28,2,15,0,3,5,9
284,cuckoo-w7-maldome-opened,8cd1fc9a12c77d347f75df7928ce2439,virus_win32_sality_au-83-win32_exe-utorrent.exe-8cd1fc9a12c77d347f75df7928ce2439.exe,sality,12.8,192,23,2,4,4,8,11,0,1,1,2,31,36,4,48,2,2,6,97
44,cuckoo-w7-vmcloak,8cd1fc9a12c77d347f75df7928ce2439,virus_win32_sality_au-83-win32_exe-utorrent.exe-8cd1fc9a12c77d347f75df7928ce2439.exe,sality,12,196,15,1,5,5,7,10,0,1,1,3,31,33,4,43,0,3,6,90
